Address,Transaction ID,TotalCommitedALGO,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov
I3FCQXZE5STRNJ7VMSM6TBABJTRZOE7GBOGNXNWNFHE7XCY2HPYP4U5CLM,UJCPMXE6COMY2MR26HWX7ZK2WZ5SSVAQMBUSRI4YYPLTJPJHTQSA,5500000000,5500000000,0,5500000000,2024-10-10 10:31:45.387217+00:00,ZGYCQDJ52W7MNZ5HY5XAAKUENRQ2EGZRZFJ3YCOKRCKE5K7R2FNR7KGUOM,,No
FAAFC6CXFUNQHQQTWB74G3O5JT34D2OHMG6CFHHO53HXJMYG4ASPFXPWLU,M7DYPAULIMYGGVPQ7D4WLGHOMEOZ7YFVY6DJBDNGRFWTUI5CQF6Q,1694376877,1694376877,0,0,2024-10-10 10:31:07.843468+00:00,,,No
6QEGTXMXLJ3J5GCHM2WJUFKDYBYTGYNN6ASZQEVUXXNJTLB6PMGT67A2FI,RY7TT5CBV42LJQCNJKTKVSAJUV34OH3SF5KWPXO4IVVLZ6YQ7U7Q,2926282,2926282,0,2926282,2024-10-10 10:29:53.039695+00:00,FUHWIT7KA5T4DWVHZ7O7K2KH36NEFKMNLIRKV4J4KJATIPNAFEVDXBX7OM,,No
OTYGRRDZ5X3DSWNETY47FUX5ETY6AZWQJM7CYTOTJAH3PSMKC7KMMLC4SA,LHERF7CHKX7LMBJE2DGCI3FIH6CW53IVL6SC5YNCLYRA6DGYYY5Q,120000000,120000000,0,120000000,2024-10-10 10:29:30.184475+00:00,YOV2LB4S7MJM5T2B4JFNVBQ7HHGG4IZKYPTWMWUVADO3NXEFF5PY6XY6AM,,No
VTNZGYZQ7EAZOFYQSFTV2BW3NUMJOJFEXSTSLQZJWBNVNYA2P3RRSH5T3M,NUAY3ZJQO2EQSRAM77UA7HT3Y26XOU5FTZNQNDCQCVG6XFHQQAKA,8240000000,8240000000,0,0,2024-10-10 10:20:22.720131+00:00,,,No
RDUWEPEJST2Q7QJUKHNIGMGC2GOMBUV2J5A7HGBBZB7N3V46YM6ZLPUK5A,CSQDJGUKBJQOZUF32OOF76A6ZZ3HWTQDTCYCDOSMBPVXHB7C4GRQ,40000000,40000000,0,40000000,2024-10-10 10:19:05.243080+00:00,AHR7JBZ6PCSEV2CQZVBMAMLWNPZDU2XNELWLTLTZP5K5NG3GS5BQSXGTBY,,No
RZEKJRPT6EGAJ7JEISYIAGH5WT2V3RMRXK25BAP4VWU3Q6L6JPEYUUI37U,P3YUOZ3A2SKVZHIGUVXXWMMA2YBZF25KG6K3BH6ABN7UT4ZDCMMA,2328736,2328736,0,2328736,2024-10-10 10:10:35.768885+00:00,M2GJAWILXT7M56K7HKKGDRZNVLHZP6QKXUNJKPGIU7QS56W4LMQBSZYQJU,,No
CB3LYZOS4V7ZKJ2PUO56M3JYL4N7UYE2VGSZWR6XPJ7565K4UOAOBAQR6E,WMUBCJ5KINWWCP6FD6ICUFUEAO4DAW6R2ROI4Y3NHWCWLW2PQVPQ,14800000000,14800000000,0,0,2024-10-10 10:06:43.499121+00:00,,,No
J7IFWDYGYCJG3OC36L56CHWNOZ7AT2GUALKYNKR4VQQYDVZGSSHURAKSAM,RJRLBQZWHGO6HYQVDDCKG6PAGAAQZRGAWOFZTCCDASDFXKQWNTXQ,200000,200000,0,0,2024-10-10 10:06:38.466691+00:00,,,No
CABBCRWJVZOM5OG67ZKJSSFG2K2BV7S4RYRFJODT36GAU7YBC66ENZRZR4,RKC7B3L5K5JBFPXXHDHBBPPK5GLQNOOEVVWIVYMW5HIHLY62PCAA,374807236,374807236,0,374807236,2024-10-10 10:05:58.607145+00:00,WIXO3NDVIQELOEHT4UXPDHLVGPBKNPSRRSSYQVUQEHUNCEGU5XD63AZN5M,,No
L6YBT6MAQIWZLVJRA26NYYE7H36WYLKIBDYAAJNKKDCH3FKQUAJAXMYLXQ,DPZEJVV5YANNB5T6CKGWVDX6M3LKSU6I5CFJCTWZZYF2QYBXC36A,748000000,748000000,0,748000000,2024-10-10 10:05:47.401109+00:00,26E2EUA2HTEUR4U4KHHFGCYBCHDSIYCK3TAPKLYXVBOCAIU4WFAXZFIDDA,,No
52DDON5ZBEILKN4YMJYXVV2HGOSZNHMSA67ZFBARUCSPSB2YJF5ZZ45CLI,SJ7NPWF3X4VYLTS6XYRQMZYQVT6FOTMPTDQ3QVBI247S4UNIN7BQ,489704096,489704096,0,0,2024-10-10 09:57:26.605165+00:00,,,No
