addr,app_id,label,is_cex,entity_name,tags
UF3IEZZKTPCUHFNXW37AIT7T7Q6KNQC2LFDKL3VVO6OGL4USYAWHPCIZBQ,,EXMO,1,EXMO,CEX
NC72UHZZKTB2GNQMJHDNTRIRNQXLY2N6BE5DPRDM4PFKDNGSSYQSJH7KXU,,EXMO,1,EXMO,CEX
H2UADDAUBO3XUV76LDE4K7TSAGA3NOHLZJ5ANA5CLWEZZW6NVPWIS5WTLY,,Coinstore,1,Coinstore,CEX
WVDI66JKOAAE42S34FXSVR6BYILFVV7T7V72OIPETFBMDPKREP3NUV45LE,,Kraken,1,Kraken,CEX
RKZYB7NOK5FFK74RDSJHGLXFIVO27QOSTGL77LBLIXAEQVGJCPNQQRDD6A,,Kraken,1,Kraken,CEX
VYF4CEEXS76L4GPVMQDZSP2RO5TW2XUDKGYFE5BPQ6VZ35F5MEN4NPPHW4,,Kraken,1,Kraken,CEX
NV62FGOFZPLPVCRU7I6CB6PTWUIOVZLPF27SJ73VA5EGPRDUBZ6543UHWY,,Kraken,1,Kraken,CEX
J35O3RDARSCMVW6GTGI7NBETLGMFOSEH4XH4DRD3SWBYD26Q2NYZX435K4,,Kraken,1,Kraken,CEX
5DU66QONUNEXDF5AZHEPCYKYP6CB3VY5OKJOYEYFBQCQGES2HVY6ZJLZDM,,Kraken,1,Kraken,CEX
42BFW4KZXGUKYAIWJRY6JSP42EI2STN36CJ3YVEBOMQJTXKZ3BVQAPOF7E,,Binance US,1,Binance,CEX
6DYOG4VD447JMZRKOUFLKRTD4ULJZ2RRI7SIIFBEJEDA3PM7XVUTPRXSZU,,Binance US,1,Binance,CEX
Q4VHAHM6VNR7P74MFCXM6XRY6RUVZ5O3VJL6E26YYTXHFXMZ7RSP3WWANY,,BitMart,1,BitMart,CEX
3WOXKFNRGCIDYQQU2OX7J2CQGHQHQFRAA33E7GM4B4LT6MY4RK623G3HWU,,BitMart,1,BitMart,CEX
V4HTHXCB3UZ34N7LUYIFN6KBMWEJQFUOGAD5VU6SLR4YRAYAOWZZHLUZUM,,BitMart,1,BitMart,CEX
FI7DTQAS3OXWIKM3TYIGYHJL5BQP7S7LEDGXORXT7ND3R5CF2KMKPJHQSQ,,Simpleswap,1,Simpleswap,CEX
3PSO6KGFY6JWFQ3C2CS5E6CSLR6T7QATDXVGKFJZFI43MHS4TF2U4EFLPU,,CEX.io,1,CEX.io,CEX
6TEV6MGUQNGVUFRT6U4EBSKVJ5GCR56WF354O6GVTSPOSPJ4OOGNACLZDY,,BigONE,1,BigONE,CEX
KY7SEZ66MRHKYH4JKREXFTIN2K7TWA3WFJYS4WHTSON2PBRAS7XYIHGJMY,,Zonda,1,Zonda,CEX
TKWBX6VWCYKIP6MUCTGUSGTAYKXDIUREYIK3PQGAWNLAVGX5MJABE4ODDI,,Novax,1,Novax,CEX
6VKSWQMS2TK5J4JJFWFBYZMCWQMXW5RPIR3WQ3R2JHV4WY6WVPBTEONYKM,,Bit2Me,1,Bit2Me,CEX
A6VPBZYHFWBH6L47BZTCCQTFXVKJYKBWSIIYOSKQHRVUWZ7XAKQKJ2GNIA,,Bit2Me,1,Bit2Me,CEX
HIYYRB4HJ72LNSHPISGKUEB325DYQGYOPIP5VBZSP2HYEQY7AOIHAZT7DQ,,CoinW,1,CoinW,CEX
IOAPLETUFMCC32G6TYGR7U53GN2B24IAYGC6XWBRDQALF2ASQ4V7L3IGBU,,CoinW,1,CoinW,CEX
H6BVV63Q5SQUARZG3RN5AZQVZCOCJGYJSW5WG6U5OWDMXLH4YHOHZ3SLLY,,Triv,1,Triv,CEX
7GVBCCMFQJAEARTUZR7KLJ62J35DWDH6ECQ7AXAFQNUKV3TDQVXS7HFESE,,Triv,1,Triv,CEX
UWB2IGRCW5PPBQZ2B2JISZ2Y6NB3VI6UEBCSJLDW4VLWIUTWRE2GXPFUDE,,Reku,1,Reku,CEX
JGIYRXJP7MHFOTJERXIPZ4PDIJFAOJBRRZW4RDCA3NPGAKV456GL24XGHY,,CryptoPay,1,CryptoPay,CEX
LLYQZEQUBVTB3HOD2GLWQ2CRQ457DA57EICFV5O6I7CF6UC66SYHLEJQQ4,,BitThumb,1,BitThumb,CEX
