addr,entity,amount,is_online,is_eligible,is_cex
PQKSMB4X2W6N5VJR6ZTGR55SC6KJQZE3MUNEQU6IRA5YSZO2E33NJUTBSA,,8101538.516354,False,False,
45JN3TRGHRCS4WYDGTKCYMMYN6Z2LXGMGNEFEJ5CM7BRCE5EK2FR27K4IA,,7660105.00921,False,False,
HK35AIVEVALFNHVF7ZDWOW4QZX5BWD7GO4RV7VMXYFXULAIYBTCS5NZ3G4,Bitso,7656445.954062,False,False,1.0
XXPBS3LPV5YZQNCRFK3NVEY26JUXN6PYHTXS3N7LN3K4VSL7DCMX7CZOGI,,7435546.135784,False,False,
R3FLOJBSSYD5L3XO6GPITKGX52E6W2ANMX5VJ73NOPAY5K3RWWKOYZXNOY,,7315000.472759,False,False,
SZV4ONQA5UPIIB6NLCV5EBGY5T2ZE3JDOZAN57XSPNQWUTQAMZ756N4KLI,,7198125.846204,False,False,
NJPFJ62OTHXQZQRW5EINQN2EADERDQ667FYSHADYD2AFECHVN3P5BZZECU,,6987454.00203,False,False,
PWL2IMIIIESYRXXBCT6EB5PWLYCCIGQD3WSHVNIT6LX7NQQIJ2XITR523E,,6874599.153767,True,True,
S3VCJJRAJRXAKJMSTFNXXQ4BT5FX7OBXFDUNYBTLCY32LF5W3WQWO7J6JQ,,6843513.981869,True,True,
OD7BWA6X37IS4V7QQO3UUHZCMFOTXE6ESR2JHOLSYO2LIIBODL3CXN2EGQ,,6774753.429324,True,True,
PT4IKE2S4ZVVEE25NCYRXG2OAWTISMXWBOPCFSC5LVAJAWB457KGKUGXB4,,6619437.921145,False,False,
VE6LZSCWDM546JBIVXSJCFPMDG5M4SOJMOEYXXAR6DXCOOJO5S46QN7OC4,,6558091.646818,False,False,
ZZ3G7SC7CS2S2F33WBRAUO7BSWCXQNSEFAVRN7Z47Y7U62M6ZYBVI6A5ZY,,6493728.47684,False,False,
RQRBY7LJP7LU7BH6PO4MXIIVLPDLKS6KTL2OBSRAWLTJLCLHNKVUPHW5RI,,6284207.287953,False,False,
LTUNE7X476AVORT6EKCRSGWHPK6EQMZMOWDIYLHZTIPZHOS6Z2VCWICW5Q,,6284207.287953,False,False,
OUP7GG3L5CNPWSEI6G6BQUG4RYDPTRNEYMDSGDMVLM5I6IRO5L4UAMAW6E,,6284207.287953,False,False,
VYVYE3BMF75PH4Q3YJ5AKPLC3O6I2ECFLRUOFICNAHVBEJHAAQK3RECB7A,,6284207.287953,False,False,
Z5FNBEQ5TBDQIC3HGLSKLRMSC4DBLZNO6D4ERRN2OOCJT2E62WRJGQGG54,,6200310.009967,False,False,
